AKJ	ASAHIKAWA
HKD	HAKODATE
KUH	KUSHIRO
MMB	MEMANBETSU
OBO	OBIHIRO
OIR	OKUSHIRI
OKD	OKADAMA
CTS	SAPPORO(New_Chitose)
AOJ	AOMORI
AXT	AKITA
FKS	FUKUSHIMA
GAJ	YAMAGATA
HNA	HANAMAKI
MSJ	MISAWA
SDJ	SENDAI
KIJ	NIIGATA
MMJ	MATSUMOTO
NRT	TOKYO(Narita)
HND	TOKYO(Haneda)
NGO	NAGOYA(Chubu_Centrair)
KMQ	KOMATSU(Kanazawa)
KIX	OSAKA(Kansai)
ITM	OSAKA(Itami)
SHM	NANKISHIRAHAMA
TJH	TAJIMA
UKB	KOBE
HIJ	HIROSHIMA
IZO	IZO
OKI	OKI
OKJ	OKAYAMA
UBJ	YAMAGUCHI(Ube)
KCZ	KOCHI
MYJ	MATSUYAMA
TAK	TAKAMATSU
TKS	TOKUSHIMA
FUK	FUKUOKA
KKJ	KITAKYUSHU
KMI	MIYAZAKI
KMJ	KUMAMOTO
KOJ	KAGOSHIMA
NGS	NAGASAKI
OIT	OITA
ASJ	AMAMI-OSHIMA
KKX	KIKAIJIMA
KUM	YAKUSHIMA
OKE	OKINOERABU
RNJ	YORON
TKN	TOKUNOSHIMA
TNE	TANEGASHIMA
AGJ	AGUNI
HTR	HATERUMA
ISG	ISHIGAKI
KTD	KITADAITO
MMD	MINAMIDAITO
MMY	MIYAKO
OGN	YONAGUNI
OKA	OKINAWA
TRA	TARAMA
UEO	KUMEJIMA
